LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
203,4508,100192,Secondary,85,23,30,80.1,16,26.9,15.2,"£47,731"
203,4682,100193,Secondary,45,9,15,41.6,6.9,12.9,15.0,"£44,340"
203,4716,141716,Secondary,42,13,17,41.2,12.1,14.8,15.1,"£44,753"
203,5200,100197,Primary,32,36,6,29.8,22.7,5.8,20.9,"£46,876"
203,6905,105135,Secondary,101,29,18,95.4,24.2,15.1,12.5,"£42,484"
204,2001,139814,Primary,32,25,10,31.8,23,9.1,19.5,"£35,829"
204,2002,140426,Primary,12,8,4,12,8,4,18.0,"£39,347"
204,2003,141750,Primary,12,8,5,12,6.8,2.8,11.8,"£40,224"
204,2004,142112,Primary,16,9,4,16,9,2.8,12.5,"£38,119"
204,2005,145730,Primary,11,3,3,7.4,2.5,2.2,16.4,"£29,924"
204,2048,100218,Primary,28,32,10,26.7,24.7,9.3,16.8,"£40,728"
204,2120,100221,Primary,16,11,6,15.1,7.5,6,13.5,"£38,407"
204,2150,100223,Primary,34,27,18,32.1,22.9,16.8,19.0,"£41,274"
204,2155,100224,Primary,17,15,7,16.4,12.5,5.7,15.2,"£44,110"
204,2238,100225,Primary,22,21,8,21.6,17.5,7.1,15.4,"£43,533"
204,2376,100229,Primary,29,30,10,26.2,22,8.1,16.5,"£43,954"
204,2388,100230,Primary,35,17,6,33.2,13.2,5.1,13.3,"£40,671"
204,2421,100231,Primary,32,31,15,29.7,26.7,14.1,22.1,"£45,173"
204,2431,100232,Primary,23,20,15,22.5,18.5,13.1,19.6,"£40,222"
204,2444,141576,Primary,24,15,6,23.8,11.6,4.6,18.9,"£39,638"
204,2450,100234,Primary,31,19,15,31,17.1,13.8,19.8,"£42,463"
204,2487,100235,Primary,24,34,8,24,32.1,5.4,20.5,"£44,646"
204,2489,100236,Primary,25,15,4,24,13.2,3.9,14.5,"£42,734"
204,2532,100239,Primary,20,23,12,19.2,15,9.4,18.6,"£42,050"
204,2533,130302,Primary,24,24,8,22.6,19.4,7,20.5,"£41,179"
204,2534,130303,Primary,33,35,12,30.8,26.3,9.1,18.3,"£44,448"
204,2539,100240,Primary,28,25,8,24.8,21.1,6.8,16.5,"£48,591"
204,2545,100241,Primary,25,18,11,24.2,13,10.7,17.9,"£37,578"
204,2564,100242,Primary,21,18,9,21,16.3,8.2,18.1,"£40,279"
204,2592,100243,Primary,18,33,14,17.6,30.6,7.3,18.9,"£39,890"
204,2615,100244,Primary,21,35,11,20.8,26.9,9,19.0,"£47,304"
204,2636,100245,Primary,25,18,15,24.1,15,9,16.6,"£42,589"
204,2654,100248,Primary,29,16,22,28.4,13.9,14.6,23.2,"£36,862"
204,2779,100250,Primary,16,18,6,15.3,12.7,4.8,15.1,"£47,796"
204,2795,100251,Primary,28,14,9,26.4,11.1,7.8,13.5,"£45,201"
204,2856,100252,Primary,14,17,10,11.5,12.5,4.3,19.7,"£46,301"
204,2859,100253,Primary,26,33,21,25.2,22.8,12,17.4,"£39,309"
204,2860,100254,Primary,14,11,5,12.7,8.2,4.1,16.9,"£44,173"
204,2861,100255,Primary,11,12,5,11,8.9,3.8,20.0,"£44,346"
204,2862,100256,Primary,22,7,9,20.7,6.8,9,16.5,"£38,279"
204,2863,100257,Primary,14,15,4,11.4,9.6,3,18.9,"£38,858"
204,2864,100258,Primary,26,14,11,25,11.5,8.2,18.3,"£42,241"
204,2865,100259,Primary,13,14,5,11.6,12.3,4.6,18.8,"£40,128"
204,2872,100260,Primary,21,18,9,19.3,12,7.6,18.0,"£39,963"
204,2896,100261,Primary,18,10,8,17,8.6,6.6,18.6,"£40,668"
204,2897,130932,Primary,28,19,6,26.5,11.7,4.6,16.4,"£43,681"
204,2898,131141,Primary,20,11,6,20,10.3,5.6,16.2,"£40,937"
204,2899,131706,Primary,20,15,6,18.6,10.4,5.4,23.5,"£42,994"
204,2900,133669,Primary,18,16,3,17.6,12.5,3,21.7,"£42,980"
204,3000,132137,Primary,20,19,13,15.3,15.3,6.6,16.7,"£43,953"
204,3358,100263,Primary,15,10,12,14.6,9,10,18.5,"£62,768"
204,3371,100264,Primary,13,13,5,12.6,10.1,4.5,17.3,"£47,536"
204,3458,100266,Primary,24,9,8,23.6,7.9,7,14.6,"£42,348"
204,3543,100267,Primary,13,10,4,12.6,7.9,3.9,19.6,"£42,254"
204,3553,100268,Primary,12,11,11,11.2,9.2,9,19.2,"£43,913"
204,3572,100269,Primary,9,9,6,9,6.6,4,22.8,"£44,422"
204,3616,100270,Primary,12,4,5,12,3.2,4.1,16.1,"£42,273"
204,3618,100271,Primary,15,3,3,13.9,2.6,3,14.6,"£41,066"
204,3659,100274,Primary,13,5,5,12.6,4.2,3.8,15.9,"£43,429"
204,3663,100275,Primary,10,8,2,9.2,4.2,2,12.0,"£42,434"
204,3664,145610,Primary,16,13,6,11.6,10.2,3.5,13.5,"£34,765"
204,3665,142255,Primary,22,18,5,21.1,16.9,5,20.4,"£39,938"
204,3666,121792,Primary,17,10,4,14.5,7.4,3.6,14.5,"£41,708"
204,4000,145609,Secondary,27,8,9,13.6,3.2,4.9,9.4,"£36,804"
204,4002,139595,Secondary,44,5,11,43.8,5,9.8,9.8,"£38,595"
204,4003,140210,Secondary,66,21,16,64.3,21,14.8,11.9,"£43,572"
204,4005,143756,Secondary,27,4,5,26.6,4,4.2,13.6,"£42,044"
204,4283,100277,Secondary,80,10,32,73.7,7.9,25.5,12.7,"£48,186"
204,4302,137442,Secondary,66,9,20,65.4,9,20,18.1,"£46,363"
204,4310,100279,Secondary,112,37,47,108.9,30.8,40.4,15.0,"£45,269"
204,4318,133599,Secondary,57,19,30,28.6,8.3,15.1,11.0,"£33,733"
204,4641,100282,Secondary,56,6,17,53,6,16.4,14.0,"£51,106"
204,4697,100284,Secondary,56,12,13,54.7,9.2,12.7,15.3,"£50,015"
204,4714,100285,Secondary,83,10,24,81,10,22.7,12.3,"£47,718"
204,6905,134693,Secondary,122,32,34,112.7,30.1,31.6,11.9,"£44,164"
204,6906,131062,Secondary,97,27,31,92.7,26.5,30.8,11.4,"£43,517"
